"artist","album","track"
"Rush","R30","R30 Overture (Finding My Way, Bastille Day, Anthem, a Passage to Bangkok, Cygnus X1, Hemispheres)"
"Queen","Live At Wembley Stadium","I Want to Break Free - Live At Wembley Stadium / July 1986"
"Freddie Mercury","Greatest Hits III","Living on My Own - Julian Raymond Album Mix"
"Yes","The Yes Album","I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster"
"Rush","R30","Subdivisions - R30 Live Version"
"Rush","Grace Under Pressure","The Enemy Within"
"Freddie Mercury","Greatest Hits III","Barcelona"
"Led Zeppelin","Celebration Day","For Your Life - Live: O2 Arena, London - December 10, 2007"
"Led Zeppelin","Mothership","Over the Hills and Far Away - Remaster"
"Queen","Live At Wembley Stadium","Seven Seas of Rhye - Live At Wembley Stadium / July 1986"
"Rush","Feedback","Seven and Seven Is"
"Queen","Greatest Hits II","Who Wants To Live Forever - Remastered 2011"
"Queen","Live At Wembley Stadium","Tutti Frutti - Live At Wembley Stadium / July 1986"
"Rush","Clockwork Angels Tour","2112 - Live"
"Queen","Greatest Hits II","I Want It All - Remastered 2011"
"Rush","Snakes & Arrows","Faithless"
"Rush","Snakes & Arrows Live","Mission - Snakes & Arrows Live Version"
"Led Zeppelin","Celebration Day","Good Times Bad Times - Live: O2 Arena, London - December 10, 2007"
"Rush","Clockwork Angels Tour","Force Ten (Live on Clockwork Angels Tour)"
"Queen","Greatest Hits II","I Want To Break Free - Remastered 2011"
"Rush","2112","Overture - Live"
"Yes","90125","Hearts"
"Rush","R40 Live","The Anarchist - Live R40 Tour"
"Rush","Caress Of Steel","Lakeside Park - Live"
"Rush","Rush in Rio","Natural Science - Rio Live"
"Rush","Rush in Rio","Vital Signs - Rio Live"
"Led Zeppelin","Mothership","Nobody's Fault but Mine - Remaster"
"Rush","Time Machine 2011: Live In Cleveland","Closer to the Heart - Live in Cleveland"
"Rush","Grace Under Pressure Tour Live","The Spirit Of Radio - Live - Grace Under Pressure Tour"
"Queen","Greatest Hits III","You Don't Fool Me"
"Rush","R40 Live","Jacob's Ladder - Live R40 Tour"
"Rush","Grace Under Pressure Tour Live","The Enemy Within - Live - Grace Under Pressure Tour"
"Led Zeppelin","Mothership","Ramble On - Remaster"
"Rush","Rush in Rio","Spirit of Radio - Rio Live"
"Rush","Clockwork Angels Tour","The Percussor (i. Binary Love Theme / ii. Steambanger's Ball) [Drum Solo] [Live on Clockwork Angels Tour]"
"Rush","Snakes & Arrows","The Main Monkey Business - Instrumental"
"Rush","2112","A Passage To Bangkok - Live"
"Queen","Greatest Hits II","Friends Will Be Friends - Remastered 2011"
"Led Zeppelin","Mothership","Communication Breakdown - Remaster"
